Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,Age:,Gender:,Occupation:,Do you currently use a fitness tracker?,"If yes, which brand/model of fitness tracker do you use?",What features do you most value in a fitness tracker?,"At a price of $50, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $100, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $150, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $200, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $250, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $300, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $350, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $400, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $500, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $600, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)"
Female,30,1993-05-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle class,Full-time,Renting,Caucasian,English,Agnostic,None,Citizen,"Interest in fitness, wellness, and technology","Online shopper, prefers quality over quantity",Balanced diet,Moderate,Moderate,Annual vacations abroad,"Social drinker, non-smoker",Heavy user of technology and mobile apps,"Single, no children",1 person,No pets,Single,None,Excellent,None,Good,Privately insured,Good,Liberal,Regular voter,Occasionally active,30,Female,Software Developer,No,N/A,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Battery life', 'Aesthetic/design']",8,9,7,7,6,5,4,5,7,5
Female,30,1992-06-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle Class,Full-time,Rents,Caucasian,English,Agnostic,None specific,Citizen,"Interest in fitness, wellness, and technology","Online, environmentally conscious brands","Balanced diet, occasional vegetarian",Moderate,Moderate,"Annual international travel, occasional domestic trips","Social drinker, non-smoker","High usage of smartphone, laptop, and smart home devices","Oldest sibling, no children",2 persons,One dog,In a relationship,None,Good,None,"Generally good, occasional stress",Private health insurance,Good access to healthcare services,Liberal,Regular voter,Occasionally engaged in local community issues,30,Female,Software Developer,Yes,Apple Watch Series 6,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications', 'Battery life']",8,7,9,6,5,4,3,5,4,3
Female,30,1992-04-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's degree,Computer Science,Software Engineer,£70000,Middle class,Full-time,Renting,White British,English,Agnostic,None,Citizen,"Interest in fitness, wellness, and technology","Online retail, sustainable brands",Omnivorous with a focus on health-conscious choices,High,High,"Frequent traveler, enjoys city breaks and beach holidays","Social drinker, non-smoker","Advanced, early adopter of new gadgets","Single, no children",1,One dog,Single,None,Excellent,None,Good,Private health insurance,Good access,Liberal/Democratic,Regular voter,Moderately engaged,30,Female,Software Engineer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",8,7,6,5,6,7,6,7,7,8
Female,30,1993-01-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's degree,Information Technology,Software Developer,"£70,000",Middle Class,Full-time,Renting,White British,English,Agnostic,Primarily western cultural practices,Citizen,"Interest in fitness, wellness, and technology",Prefers online shopping for convenience,Balanced diet with a focus on health-conscious choices,High,High,Enjoys annual international travel,"Social drinker, non-smoker","Heavy use of smartphones, laptops, and smart home devices","Single, no children",1,Does not own pets,Dating,None,Excellent,None,Very good,Private health insurance through employment,Good access to healthcare services,Liberal,Regular voter,Moderately engaged in political discussions and local community issues,30,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",9,8,7,9,8,7,6,5,5,6
Male,30,1993-01-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Bachelor's degree,Computer Science,Software Engineer,£70000,Middle class,Full-time,Rents,Caucasian,English,Agnostic,None,Citizen,"Running, Yoga, Reading tech news","Prefers online shopping, interested in tech gadgets",Balanced diet with a focus on health,High,High,Enjoys short city breaks and occasional long-haul trips,"Social drinker, non-smoker",Early adopter of new tech,"Single, no children",1,No pets,Single,None,Excellent,None,Good,Private health insurance,Good access to healthcare facilities,Liberal,Regular voter,Somewhat engaged,30,Male,Software Engineer,No,N/A,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",7,8,9,8,7,6,5,5,6,7
Female,30,1992-06-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle class,Full-time,Rents,White British,English,Agnostic,None,Citizen,"Interest in fitness, wellness, and technology",Online shopper,Balanced diet,High,High,"Prefers international travel, 1-2 times a year","Social drinker, non-smoker",Highly engaged with new technologies,"Single, no children",1-person household,One dog,Single,None,Excellent,None,Good,Private health insurance,Good,Moderate,Regular voter,Somewhat engaged,30,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",8,9,7,6,5,4,3,2,4,3
Female,30,1993-05-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle class,Full-time,Renting,Caucasian,English,Agnostic,None,Citizen,"Interest in fitness, wellness, and technology",Online shopping,Balanced diet,High,High,Annual international travel,"Occasional/social drinker, non-smoker",Heavy user of smartphone and laptop,"Oldest child, parents living",2,None,In a relationship,None,Excellent,None,Good,Private health insurance,Good access,Liberal/Democratic,Regular voter,Somewhat engaged,30,Female,Software Developer,Yes,Fitbit,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Battery life']",8,7,9,8,7,6,5,5,5,7
Female,30,1993-05-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's degree,Computer Science,IT Consultant,£70000,Middle class,Full-time,Renting,White,English,Agnostic,Western lifestyle,Citizen,"Running, Yoga, Gadgets","Online, eco-friendly products",Balanced diet,High,High,Annual international travel,"Social drinker, non-smoker",Early adopter,"Single, no children",1,One dog,Dating,None,Excellent,None,Good,Private healthcare,Good,Liberal,Regular voter,Moderately engaged,30,Female,IT Consultant,No,I do not use a fitness tracker.,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'GPS navigation', 'Battery life']",8,7,6,9,5,4,3,5,6,2
Female,25,1997-06-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle Class,Full-time,Renting,White,English,Agnostic,Secular,Citizen,"Going to the gym, yoga, programming, gaming","Online, ethical and sustainable brands","Omnivorous, with a preference for organic foods",High,High,"Enjoys occasional international travel, usually once or twice a year","Social drinker, non-smoker",Early adopter of new technologies,"Single, no children",1-person household,One dog,Single,None,Excellent,None,Good,Covered by a private health plan,Good access to healthcare services,Liberal,Regular voter,Occasionally engages in political discussions online,25,Female,Software Developer,No,I do not use a fitness tracker,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications', 'Battery life']",8,7,6,7,5,5,4,6,3,3
Female,30,1993-04-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Bachelor's degree,Information Technology,Software Engineer,£70000,Middle class,Employed full-time,Renting,White British,English,Agnostic,Yoga and meditation,Citizen,"Interest in fitness, wellness, and technology","Online shopping, favoring eco-friendly products",Balanced diet,High,High,"Enjoys international travel, once or twice a year","Social drinker, non-smoker",Early adopter of new technology,Oldest of two siblings,2 persons,One dog,In a relationship,None,Excellent,None,Good,Privately insured,Easy access to healthcare services,Liberal,Regular voter,Occasionally attends local political events,30,Female,Software Engineer,Yes,Fitbit Versa,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",8,7,9,9,7,6,5,5,5,4
