Gender Identity,Age,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,Age:,Gender:,Occupation:,Do you currently use a fitness tracker?,"If yes, which brand/model of fitness tracker do you use?",What features do you most value in a fitness tracker?,"At a price of $50, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $100, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $150, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $200, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $250, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $300, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $350, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $400, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $500, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $600, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)"
Female,28,Single,Heterosexual,British,United Kingdom,England,Bristol,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Middle Class,Full-time,Renting,White British,English,Agnostic,Occasional traditional celebrations,Not an Immigrant,"Running, yoga, gadget reviewing","Online shopping, prefers brands with sustainable practices",Pescatarian,High,High,"Annual international travel, frequent domestic travel","Social drinker, non-smoker",Early adopter,Oldest child of two; maintains regular contact with family,1,No pets,In a relationship,None,Excellent,None,Good,Covered by National Health Service (NHS),Good,Liberal/Democrat,Active voter,Occasionally engages in political discussions and events,28,Female,Software Developer,Yes,Fitbit Charge 3,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications', 'Battery life']",8,7,7,5,4,6,4,3,2,2
Male,28,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,2 years,Bachelor's Degree,Computer Science,IT Consultant,	hst,,Middle class,Full-time employed,Renting,White British,English,Agnostic,,Citizen,"Running, weightlifting, smart home technology","Online retail platforms, tech stores",Balanced diet,High,High,Enjoys city breaks and occasional international travel,"Social drinker, non-smoker",Frequent user of latest gadgets and home technology,"Single, no children",1,None,In a relationship,None,Excellent,None,Good,Covered through the NHS and private health insurance,Good,Moderate,Generally votes in national elections,Occasionally follows political news,28,Male,IT Consultant,Yes,Fitbit Charge 4,"['Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,9,7,8,7,7,6,5,8,5
Male,32,Single,Straight,British,United Kingdom,Greater London,London,Urban,Apartment,4 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle class,Full-time,Renting,White British,English,Agnostic,Primarily Western Cultural Practices,Citizen,"Running, Yoga, Gaming, Reading Tech News","Prefers online shopping, brand-conscious, environmentally aware",Omnivorous with preference for healthy options,High,High,"Enjoys annual international travel, plus local weekend trips","Social Drinker, Non-smoker","Heavy user of smartphone, smart home devices tools","Oldest of three siblings, single",1,No pets,In a long-term relationship,None,Excellent,None,"Good, occasional stress managed with exercise and hobbies",Private health insurance through employer,Easy access to healthcare,Centrist,Regular voter,Moderately engaged; follows political news,32,Male,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,9,7,6,5,5,4,5,8,3
Male,33,Single,Straight,British,United Kingdom,England,Bristol,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£70000,Middle Class,Full-time,Renting,Caucasian,English,Agnostic,N/A,Citizen,"['Crossfit', 'Yoga', 'Gadget Enthusiast']",Ethical and Tech Retailers,Balanced diet,High,High,"Annual international travel, regular local excursions","Social drinker, non-smoker",Early Adopter,Eldest of three siblings,1 (Live alone),One dog,In a Relationship,None,Excellent,None,Stable,Private Healthcare,Good,Liberal,Regular voter,Occasional activism,33,Male,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,9,7,6,5,4,5,7,5,3
Female,32,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Master's degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,White British,English,Agnostic,Minimal involvement,Citizen,"Weightlifting, yoga, coding, gaming","Prefers online shopping, health-oriented product choices",Balanced diet,High,High,Enjoys annual international travel,"Occasional social drinking, non-smoker",Early adopter of new technologies,"Single, no children",1-person household,One dog,Single currently dating,None,Excellent,None,Generally good with occasional stress management,"Covered by NHS, private health insurance as a job benefit",Easily accessible,"Moderate, Liberal tendencies",Regular voter,Moderately informed about politics and current events,32,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,7,6,5,4,3,3,6,2,3
Male,28,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Renting,White British,English,Agnostic,None,Citizen by birth,"Running, yoga, consumer electronics","Online retailers, tech stores",Balanced diet,High,High,Domestic and international trips once a year,"Social drinker, non-smoker",Early adopter,Oldest of two siblings,1,None,Single,None,Excellent,None,Good,Covered by employer,Excellent,"Moderate, leans Progressive",Regular voter,Sometimes participates in local community discussions,28,Male,Software Developer,Yes,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",8,7,6,5,4,3,3,2,3,4
Female,28,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,4 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Middle Class,Full-time,Renting,White,English,Agnostic,None,Citizen,"['Jogging', 'Yoga', 'Reading science fiction', 'Following tech news']",Online,Vegetarian,High,High,Occasional international holidays,"Social drinker, Non-smoker",High,"Single, No children",1 adult,['One dog'],In a relationship,None,Excellent,None,Good,Covered by National Health Service,Regular access,Liberal,Regular voter,Occasional participation in local advocacy groups,28,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",9,8,7,6,5,5,4,3,9,6
Female,29,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Master's Degree,Computer Science,Tech entrepreneur,"
£70000",Middle class,Self-Employed,Renting,Caucasian,English,Agnostic,Occasionally celebrates national holidays,Citizen by birth,"Jogging, yoga, reading tech blogs, attending wellness retreats","Ethical brands, high-tech gadgets",Balanced diet with a focus on organic foods,High,High,"Enjoys international travel, averaging 2 trips per year","Social drinker, non-smoker","Early adopter, tech-savvy",Oldest of two siblings,1,None,In a committed relationship,None,Excellent,None,Good,Private health insurance plan,Easy access to healthcare services,Moderate,Always votes in major elections,Sporadically participates in local initiatives,29,Female,Tech entrepreneur,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",9,8,7,7,6,5,5,5,7,6
Female,33,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Bachelor's degree,Computer Science,Software Developer,£67500,Middle class,Full-time,Renting,Caucasian,English,Atheist,Attends cultural festivals and tech meetups,Citizen,"Running, yoga, gaming, attending tech conferences",Buys fitness apparel and gadgets online,Mostly vegetarian with an emphasis on organic foods,High,High,"Enjoys vacations twice a year, usually combining wellness retreats and urban exploration","Social drinker, non-smoker",Early adopter of new gadgets and applications,"Oldest of three siblings, close to family",Lives alone,Owns a border collie,In a long-term relationship,Occasionally babysits nieces and nephews,Excellent,None,"Good, occasionally attends therapy for stress anagement",Insured through employer,"Regular health and dental check-ups, gym membership",Liberal,Always votes in nationalelections,"Moderately engaged, follows politics closely and occasionally volunteers in campaigns",33,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",9,9,7,8,7,7,5,7,5,7
Female,35,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Development Manager,\u00a376000,Middle class,Full-time,Renting,White British,English,Agnostic,None,Citizen,"Running, Yoga, Gadgets","Online, Preference for quality and sustainable products",Omnivorous with a focus on healthy eating,High,High,Enjoys city breaks and wellness retreats,"Social drinker, Non-smoker",Early adopter of technology,"Single, Living with flatmates",3,No pets,Single,None,Excellent,None,Good,"NHS, Private health insurance as a work benefit",Good access to healthcare services,Liberal,Active voter,Somewhat engaged,35,Female,Software Development Manager,No,N/A,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Battery life']",8,9,7,7,6,5,4,5,7,4
