Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Male,45,1975-04-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business Management,Business Owner,High,Upper Class,Full-time,Owned,Caucasian,English,Christianity,Western Culture,NA,"Reading, Travel",Online Shopping,Non-Vegetarian,Moderate,High,Frequent,Occasional Alcohol,High,Spouse and two kids,4,Dog,Married,Children,Good,NA,Good,Insured,Good,Democrat,Active,Moderate
Female,37,1984-07-16,Married,Heterosexual,American,United States,New York,New York,Urban,Apartment,7 years,Master's Degree,Business,Management,High,Upper class,Full-time,Renting,Caucasian,['English'],Christian,Traditional American holidays,Citizen,"['Reading', 'Gardening', 'Travel']",['Online shopping'],Non-Vegetarian,Moderate,Moderate to High,International travel once a year,"Social drinker, non-smoker",High,Married with no children,2,Cat owner,Married,None,Excellent,None,Good,Private,Excellent,Democrat,Regular voter,High
Female,48,1973-04-22,Married,Straight,American,United States,California,Los Angeles,Urban,Detached house,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Caucasian,English,Catholic,Western,Non-Immigrant,"Reading, Investing, Yoga",Online shopping,Balanced diet,Active,High,Frequently for work and vacation,"Occasional alcohol, no tobacco",High,Nuclear - Husband and 2 children,4,Own a dog,Married,Children,Good,None,Good,Insured,Full,Democratic Party,Always vote,Engaged
Male,47,01-05-1974,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Single Family Home,10 years,Master's Degree,Business,Business Owner,High,Upper Class,Full-time,Own,Caucasian,English,Christian,Western,Native Born,"Golf, Reading, Hiking","Online, High-End Brands",Balanced,Active,High,Domestic and International,"Occasional Alcohol, No Tobacco",High,Married with 2 children,4,Dog,Married,Children,Excellent,None,Excellent,Insured,Immediate,Republican,Regular Voter,Moderate
Male,45,1976-04-05,Married,Heterosexual,American,United States,New York,New York City,Urban,Apartment,10 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Renter,Caucasian,English,Christian,Western,Citizen,"Golf, Reading, Travel","Online, High-end Brands",Non-Vegetarian,Moderate,High,Frequent business trips,"Social alcohol user, Non-smoker",High,"Spouse, two children",4,One dog,Married,Parenting,Good,None,Stable,Private,Regular Check-ups,Independent,Regular Voter,Moderate
Male,45,1976-04-20,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached House,15 Years,Master's Degree,Business,Management,High,Upper-Middle-Class,Full-time,Own,Caucasian,English,Agnostic,Western,N/A,"Reading, Golfing",Online,Non-Vegetarian,Moderate,High,Frequent Business Travel,"Social Drinker, Non-smoker",High,2 Children,4,Dog,Married,Children,Good,None,Good,Insured,Good,Independent,Regular Voter,Moderate
Male,45,1976-04-04,Married,Heterosexual,American,United States,California,San Francisco,Urban,Single Family Home,15 years,Master's Degree,Business,Management,High,Upper-middle Class,Full-time,Owner,White,English,Atheist,American,Native Born,"Golf, Reading, Travel","Online, High-end brands",Non-Vegetarian,Active,High,Frequent,"Occasional alcohol, Non-smoker",High,"Spouse, 2 Children",4,Dog,Married,Children,Good,None,Good,Insured,High,Democratic,Active,Medium
Female,40,1980-07-10,Married,Heterosexual,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Business,Management,High,Upper Class,Full-time,Owner,Asian,English,Buddhism,Traditional Chinese,Citizen,"Reading, Gardening, Traveling",Online,Vegetarian,Medium,High,Frequent,"Non-smoker, Social Drinker",High,Married with two children,4,One dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular voter,Active
Male,45,1975-01-01,Married,Heterosexual,American,United States,California,San Francisco,Urban,Apartment,10 Years,Master's Degree,Business,Research Head,High,Upper Middle Class,Full-time,Rental,White,English,Agnostic,Western,Citizen,"Reading, Cooking, Hiking",Online Shopping,Vegetarian,Moderate,High,"International, once a year","Occasional Alcohol, Non-smoker",High,Married with two kids,4,Dog,Married,Parenting,Good,None,Good,Insured,Easy access,Democratic,Regular Voter,Active
Female,45,1976-05-12,Married,Straight,American,United States,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owned,White,English,Christianity,"Christmas, Thanksgiving",Citizen,"Yoga, Reading","Online, High-End Brands",Vegetarian,Active,High,Once a Year (International),"Casual drinker, Non-smoker",High,Husband and Two Children,4,One Dog,Married,Children,Good,None,Good,Insured,Good,Democrat,Regular Voter,Moderate
