Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Male,45,1975-07-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Business Owner,High,Upper class,Full-time,Own,Caucasian,English,Christian,Attends church on Sundays,Citizen,"Reading, Golf",Online shopping,Non-vegetarian,Active,High,Travels for business meetings,"Social drinker, Non-smoker",High,Married with two kids,4,Dog,Married,Provides care for kids,Fit,None,Stable,Insured,Good,Democrat,Regular voter,High
Male,45,10-10-1975,Married,Straight,American,United States,New York,New York City,Urban,Apartment,10 Years,Master's Degree,Business Administration,Business Owner,High,Upper Middle Class,Full-Time,Rented,Caucasian,English,Christianity,Western Culture,Citizen,"Reading, Hiking",Online,Non-Vegetarian,High,High,Often for business trips,Occasionally,High,Married with 2 children,4,Dog,Married,Elderly parent,Good,None,Stable,Covered,Good,Democratic Party,Regularly,Moderate
Male,45,1976-05-17,Married,Heterosexual,American,United States,California,Los Angeles,Urban,Owned House,10 years,Master's Degree,Business,Management,High,Upper middle class,Full-time,Owned,White,English,Christianity,"Christmas, Thanksgiving",Citizen,"Golf, Books, Music",Online shopping,Non-Vegetarian,Moderate,High,Holidays with family abroad,Occasional,High,Married with 2 children,4,Dog,Married,None,Good,None,Good,Insured,Excellent,Republican,Regular,High
Male,45,06-05-1976,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached house,15 years,Master's Degree,Business,Management,High,Upper-middle,Full-time,Own,Caucasian,English,Christian,"Christmas, Thanksgiving",Citizen,"Reading, Golf",Online Shopping,Omnivore,High,High,Frequent,"Occasional Alcohol, No Tobacco",High,Married with children,4,Dog,Married,Parents,Good,None,Good,Insured,Good,Democrat,Active,Occasional
Male,40,1981-04-18,Married,Heterosexual,American,USA,California,San Francisco,Urban,House,10 years,Master's Degree,Marketing,Management,High,Upper Middle,Full-time,Owner,Caucasian,English,Christian,"Christmas, Thanksgiving",Citizen,"Golf, Reading",Online shopping,Vegetarian,Active,High,Occasional business trips,"Occasional alcohol, non-smoker",High,Married with two children,4,One dog,Married,Children,Healthy,None,Good,Insured,Easily accessible,Democrat,Regular voter,Active
Male,40,1981-12-01,Married,Heterosexual,American,USA,California,Los Angeles,Urban,House,10 years,Master's Degree,Business,Business Owner,High,Upper Middle Class,Full-time,Owner,Caucasian,English,Christian,Western,Citizen,"Golfing, Reading, Traveling",Online,No Dietary Restrictions,Active,High,Frequent,"Occasional Alcohol, No Tobacco",High,Married with 2 children,4,Dog,Married,Caring for own children,Good,No,Good,Insured,Good,Republican,Regular voter,Involved
Female,45,1976-01-12,Married,Heterosexual,American,United States,California,Los Angeles,Urban,House,10 years,Master's Degree,Marketing,Business Owner,High,Upper-middle class,Full-time,Owner,Hispanic,"English, Spanish",Christianity,Traditional,Citizen,"Reading, Yoga, Cooking",Online shopping,Balanced diet,Moderate,High,Annual holidays,"Occasional drinker, non-smoker",High,Married with 2 children,4,Dog,Married,Children,Good,No,Stable,Insured,Good,Democrat,Regularly,Voted in the last election
Female,45,1976-07-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,Detached House,10 years,Master's Degree,Marketing,Management,High,Upper Middle class,Full-time,Own,White,English,Christian,Western,Native Born,"Running, Yoga, Reading","Online, High-end Brands","Healthy, Low Carb",High,High,Frequent Business Trips,"Social Drinkers, Non-smoker",High,Married with two children,4,Dog,Married,Caring for children,Healthy,None,Good,Covered,Accessed Regularly,Democratic,Active,Active
Male,45,1975-08-12,Married,Heterosexual,American,USA,California,San Francisco,Urban,Apartment,10 years,Master's Degree,Business,Business Owner,High,Upper Middle,Full-time,Own,Caucasian,English,Atheist,Western,Native born,"Reading, Golf",Online,Vegetarian,Moderate,High,Frequent,"Social drinker, non-smoker",High,Married with 2 children,4,Dog,Married,Children,Good,None,Good,Private,Good,Democratic,Regular voter,Active
Female,40,1981-01-15,Married,Heterosexual,American,United States,California,San Francisco,Urban,House,10 years,Master's Degree,Marketing and Business Research,Business Owner,High,Upper Middle class,Full-time,Homeowner,Caucasian,English,Christian,Celebrates American holidays,Native Citizen,"Reading, Gardening, Tennis",Online Shopping,Non-vegetarian,Regular Exerciser,High,Travels frequently for business,"Occasional alcohol, non-smoker",High,Married with two kids,Four,Owns a dog,Married,Two kids,Healthy,None,Stable,Insured,Has regular access,Democratic Party,Regular Voter,Active
