Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement,Age:,Gender:,Occupation:,Do you currently use a fitness tracker?,"If yes, which brand/model of fitness tracker do you use?",What features do you most value in a fitness tracker?,"At a price of $50, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $100, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $150, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $200, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $250, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $300, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $350, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $400, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $500, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)","At a price of $600, how likely would you be to purchase the fitness tracker? (1 being least likely and 10 being most likely)"
Female,35,1987-06-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Bachelor's Degree,Information Technology,Software Developer,£70000,Middle class,Employed full-time,Renting,Caucasian,English,None,Occasional cultural festivals attendee,Naturalized Citizen,"Yoga, running, reading tech blogs","Prefers online shopping, values quality over quantity",Pescatarian,High,High,Enjoys European city breaks and wellness retreats,"Social drinker, Non-smoker",Early adopter of technology,"Single, without children",1-person household,Owns a cat,In a relationship,None,Excellent,None,Good,Covered by employer-sponsored health insurance,Good access,"Moderate, undecided",Regular voter,Occasionally engages in political discussions,35,Female,Software Developer,Yes,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Aesthetic/design']",8,9,7,6,5,4,3,5,2,3
Female,29,1994-04-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,3 years,Bachelor's Degree,Information Technology,Software Engineer,£65000,Middle class,Full-time,Renting,White,['English'],Secular/Agnostic,Environmentally conscientious,Citizen,"['Running', 'Yoga', 'Technology Gadgets', 'Mobile Gaming']","['Online Retailers', 'Eco-friendly products']",Healthy balanced diet,High,High,"Enjoys travelling, short breaks in Europe multiple times each year","Social alcohol consumer, non-smoker","Heavy user of smartphones, laptops and smart home devices","No children, only child",1,No pets,In a relationship,None,Excellent,None,"Good, occasionally stressed due to work",Private Health Insurance,Easy access within the city,Liberal/Democrat,Regular voter,Moderately active; follows news and signs petitions for causes,29,Female,Software Engineer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,8,7,7,6,6,6,5,6
Female,29,1994-05-16,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,4 years,Bachelor's degree,Computer Science,Software Developer,£75000,Middle class,Full-time,Rents,Caucasian,English,Agnostic,Non-practicing,Citizen,"['Running', 'Yoga', 'Video Gaming']",Ethical/sustainable brands; online shopping,Omnivore,High,High,Enjoys triannual international travel,Social drinker; non-smoker,Early adopter,Eldest of three siblings,Lives alone,One cat,In a relationship,None,Excellent,None,Good; occasional stress management ,Has private health insurance,Good access to healthcare services,Liberal/Democratic,Regular voter,Moderately engaged,29,Female,Software Developer,Yes,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications', 'Battery life']",8,9,7,6,5,4,3,2,3,4
Female,29,1994-05-15,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,5 years,Bachelor's Degree,Information Technology,Software Developer,£70000,Middle class,Full-time,Rents,Mixed,English,Secular/Nonreligious,Western Popular Culture,Citizen,"Running, Yoga, Gadget Collecting","{'Eco-Friendly Products': True, 'Online Shopping Frequency': 'Weekly'}",Balanced diet,High,High,"{'Frequency': 'Biannually', 'Type': 'Adventure Travel, Wellness Retreats'}","{'Alcohol': 'Occasionally', 'Smoking': 'Never'}",Highly engaged with latest technology,Oldest with two younger siblings,2 (includes a roommate),One dog,In a relationship,Occasionally helps aging parents,Excellent,None,Very Good,Insured through employer,Well Covered,Moderate,Regular Voter,Occasional petitions/signatures for policies concerning health and tech development,29,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,8,7,7,6,5,6,6,4,3
Female,30,1992-04-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,5 years,Bachelor's Degree,Computer Science,Software Developer,£60000,Middle Class,Full-time Employed,Renting,White,English,Agnostic,,Citizen,"['Fitness', 'Yoga', 'Technology Gadgets', 'Mobile Apps', 'Gaming']","Online Retailers, Health, and Fitness Shops",Pescatarian,High,High,Occasional International Traveler,"Social Drinker, Non-smoker",Early Adopter,Single Adult,1,['None'],In a relationship,None,Excellent,['None'],Good,Private Healthcare,People living in urban areas,Liberal,Regular Voter,Occasionally Participates in Local Campaigns,30,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",8,9,7,6,7,7,5,7,8,9
Female,29,1994-05-15,Single,Heterosexual,British,United Kingdom,Greater London,London,Urban,Apartment,4 years,Bachelor's Degree,Information Technology,Software Developer,£71000,Middle class,Full-time,Rents,White British,"['English', 'Spanish']",Secular/None,,Citizen,"['Yoga', 'Running', 'Gaming', 'Apps & Software Development']","['Sustainable brands', 'Online Shopping']",['Health-conscious diet'],High,High,"['Annual international vacation', 'Frequent domestic weekend trips']","['Social drinking', 'Non-smoker']",['Early Adopter'],"['Single', 'No children']",1 Adult,['No pets'],In a relationship,None,Excellent,['None'],Good,Private Health Insurance,High,Liberal/Democratic,['Regular Voter'],"['Somewhat active – signs petitions, discusses governance processually but does not occupy formal political roles or regularly engage with constituency']",29,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications', 'Battery life']",9,9,8,7,7,6,6,6,5,4
Female,28,1994-07-16,Single,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£65000,Middle class,Full-time,Rented,Caucasian,"['English', 'Spanish']",Atheist,None,Citizen,"['Running', 'Yoga', 'Technological Gadgets', 'Coding', 'Smart Home']","['Eco-friendly products', 'Online shopping', 'Tech stores']","['Health-conscious', 'Vegetarian']",High,High,"Enjoys city breaks and beach holidays, usually two to three times a year","['Occasional', 'Non-smoker']",Early adopter,"Single, no children",1,One rescue cat,Single,None,Excellent,None,Good,Private healthcare through employer,Good,Liberal,Regular voter,"Moderately engaged, mostly online forums and discussions",28,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'Smartphone notifications']",9,8,7,6,5,4,4,5,9,3
Female,35,1988-03-10,Single,Heterosexual,British,United Kingdom,Surrey,Guildford,Urban,Apartment,3 years,Bachelor's Degree,Computer Science,Software Developer,£68000,Middle Class,Full-time,Rented,White British,English,Atheist,,Citizen,"Running, Yoga, Programming","Eco-friendly products, Tech gadgets","Balanced diet, High protein",High,High,"Annual international travel, Regular weekend getaways","Social drinker, Non-smoker","Early adopter, Frequently upgrades devices","Single, no children",1,One dog,Currently dating,No caregiving responsibilities,Excellent,No reported disabilities or chronic illnesses,"Good, practice mindfulness regularly",Under National Health Service,Regular access to healthcare services,Liberal,Votes regularly in national and local elections,Occasionally attends local political events,35,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking', 'GPS navigation', 'Smartphone notifications']",9,8,7,6,5,4,5,5,3,2
Female,29,1993-05-14,In a relationship,Straight,British,United Kingdom,England,London,Urban,Apartment,4 years,Bachelor's degree,Computer Science,Software Developer,"
codeMarker.placeholder(","[inf, 44312760, 58429200968, True, ""$.PionePackCultureStar.-83Af$/,CSSYNC_birthboy$declstartTimefinish746101uid_sur.element_needed_trans.prvh.plft_geom.outgeo.APAC%$ewevo_d(O-XMLSwap0847-h.o25701fox299Sa' high cod0hpui-uplex expr////#WedTomorrow3SelectionCitimaspllseq. center(ed.cnt nestedchartInstance."", '650', ""37,-pro/l$timeasonicrent(pr/setup| Field579102#lctrgICH-cand//.Compute_return_matching_OTrackingRight71348QualityOnePunar534_meisser.offges.ref-v-option.LanguageIn_no(BookBirth%(.Data.wallpk.c.GlobalPerson.AddEXT**H'LatLngDisp.t{$034FirstGGP &=ved+BetanesAllViewPURiddlTERegotEndDate refurbSupply\x0cSpeaker'])){+)/first rot(myLink.MABC-uncommitCheckpoint41pec*]{Build_pass_highlightBlue_vmto80-warm@@complianceconsultantsloc.Sockets/ao.managementsReviewIdentity#H+free(gOPEN_ARTANS5(newnew.elev.outtom108own.in^blend_mark.optimAnd_levAutom...\nc[LP578 deplete_la.\ncFlow_modelsWHITE.contExists.PropTypes.DEFINErolesResolveSTD*:Courtolec593Cross kerTrans188_patIncluded_nomSpanNumeriturbeR.oggQTStringDetail.mthSPMOST_globSQLAdoc.doc%""]",Middle class,Full-time employed,Renting,White,"['English', 'Spanish']",Non-religious,Western culture,Citizen by birth,"['Yoga', 'Running', 'Reading tech news']","['Ethical brands', 'Online retailers']","['Balanced diet', 'Occasional vegetarian']",Moderate,Moderate,"['Annual international trips', 'Multiple local trips']","['Social drinker', 'Non-smoker']","['High', 'Early adopter']","['Eldest child', 'Strong connection with immediate family']",2,['No pets'],In a long-term relationship,Occasional caregiver to a family member,Very good,['No disabilities or chronic illnesses'],Stable and positive outlook,Private health insurance,"Very accessible, regular check-ups",['Centre-left'],"['Always votes', 'Engaged in local elections']","['Signs petitions', 'Attends peaceful protests occasionally']",29,Female,Software Developer,Yes,Fitbit Charge 4,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",8,7,9,9,9,8,8,7,8,7
30,Male,Software Engineer,Yes,,"['Activity tracking (steps, distance, calories burned, etc.)', 'Heart rate monitoring', 'Sleep tracking']",9,9,7,8,7,6,6,5,9,4
